league,selection,min_edge,season,bets,profit_units,roi,hit_rate,avg_odds
Premier League,OVER25,0.07,2324,133,-5.780000000000003,-0.04345864661654138,0.5789473684210527,1.681578947368421
Premier League,OVER25,0.07,2425,90,-17.32,-0.19244444444444445,0.4777777777777778,1.7053333333333336
Premier League,OVER25,0.07,2526,92,-4.88,-0.05304347826086957,0.5217391304347826,1.8107608695652175
Premier League,UNDER25,0.07,TOTALE,409,-48.760000000000005,-0.11921760391198045,0.38875305623471884,2.348728606356968
Premier League,UNDER25,0.07,2122,70,-3.75,-0.05357142857142857,0.44285714285714284,2.2209999999999996
Premier League,UNDER25,0.07,2223,96,-9.469999999999999,-0.09864583333333332,0.4375,2.152604166666667
Premier League,UNDER25,0.07,2324,56,-12.439999999999998,-0.22214285714285711,0.2857142857142857,2.7655357142857144
Premier League,UNDER25,0.07,2425,83,2.0700000000000007,0.024939759036144586,0.40963855421686746,2.5642168674698795
Premier League,UNDER25,0.07,2526,104,-25.17,-0.2420192307692308,0.34615384615384615,2.219326923076923
Premier League,TUTTI,0.07,TOTALE,888,-99.06,-0.11155405405405405,0.45495495495495497,2.0359797297297297
Premier League,TUTTI,0.07,2122,136,-4.870000000000001,-0.035808823529411775,0.47794117647058826,2.0741176470588236
Premier League,TUTTI,0.07,2223,194,-30.669999999999995,-0.1580927835051546,0.4381443298969072,1.9775257731958762
Premier League,TUTTI,0.07,2324,189,-18.220000000000006,-0.09640211640211643,0.49206349206349204,2.0027513227513225
Premier League,TUTTI,0.07,2425,173,-15.25,-0.08815028901734104,0.44508670520231214,2.1173988439306357
